     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
  588017566025580753  182.3829   12.1746  17.44   0.0292   129.95   9.1027   0.1801    2
  588017705078882416  182.0847   13.6841  14.79   0.0075    16.70   8.7330  -1.3346    2
  588017567636259043  182.5898   13.4762  17.71   0.0279   124.12   9.1772   0.2220    2
  588017704542339219  182.9248   13.1964  17.02   0.0050    25.84   8.0550  -0.2856    2
  588017567099519191  182.9180   12.9735  17.42   0.0074    34.67   8.5071  -0.4514    2
  588017704542404685  183.0720   13.2052  10.98   0.0076    30.10  10.9170  -2.6530    2
  588017704005533964  183.0461   12.8933  16.91   0.0047    24.97   8.1753  -0.4440    2
  588017567099715688  183.3109   12.9976  15.80   0.0269   120.09   9.8704  -0.4462    2
  588017704542339227  182.9414   13.2856  17.48   0.0082    37.96   8.5095  -0.3889    2
  588017567636390080  182.9624   13.3922  15.34   0.0576   251.66  11.1596  -1.0173    2
  588017567636390103  182.9841   13.4379  16.43   0.0572   249.73  10.6311  -0.4945    2
  588017567099781245  183.5451   12.9738  16.85   0.0580   253.06  10.6051  -0.5643    2
  588017705079341214  183.2315   13.7165  16.60   0.0503   220.12  10.0896   0.0068    2
  588017566562386056  182.3262   12.6801  16.84   0.0286   127.22   9.6346  -0.3133    2
  588017566025908235  183.1626   12.0793  16.92   0.0553   241.55  10.4291  -0.4215    2
  588017566562648192  182.9450   12.4939  17.21   0.0022     7.37   6.7307  -0.1338    2
  588017566025711673  182.7614   12.1040  13.52   0.0063    30.10   9.7495  -1.5103    2
  588017705078947899  182.1821   13.5546  16.03   0.0237   106.26   9.4613  -0.1771    2
  588017567099322464  182.3877   13.0796  17.17   0.0563   245.94  10.2555  -0.2189    2
  588017567636127839  182.2864   13.4356  16.79   0.0576   251.67  10.2348  -0.0784    2
  588017704542142469  182.3436   13.2983  14.77   0.0428   187.95  10.9025  -1.0495    2
  588017704005271642  182.4534   12.8671  16.43   0.0557   243.48  10.3358  -0.3124    2
  588017704542208173  182.5901   13.2075  16.98   0.0231   103.89   9.3093  -0.1555    2
  588017704542535743  183.3241   13.1600  16.14   0.0064    30.77   8.7019  -0.7477    2
  588017567099846788  183.6807   13.0567  17.27   0.0579   252.56   9.9433   0.0615    2
  588017567099912355  183.8358   12.9242  15.67   0.0580   253.36  11.1152  -0.9782    2
  588017567636586500  183.3071   13.5228  15.91   0.0072    33.88   8.6755  -0.7079    2
  588017702932119597  183.7784   12.0166  13.75   0.0081    16.70   9.1955  -1.7456    2
  588017702931791903  182.9594   11.9747  17.47   0.0484   212.16   9.6224   0.2123    2
  588017567636520978  183.2047   13.3471  15.96   0.0080    37.22   8.9496  -0.7688    2
  588017567099912383  183.8707   12.9611  17.14   0.0581   253.52  10.0502   0.0045    2
  588017704005861525  183.8174   12.8629  15.14   0.0579   252.59  11.0137  -0.7198    2
  588017567636652218  183.5601   13.5429  15.45   0.0043    14.95   8.3762  -1.1534    2
  588017567636652100  183.5640   13.5155  15.61   0.0430   188.69  10.6358  -0.8118    2
  588017565489234132  183.6447   11.8592  15.82   0.0046    16.58   8.2395  -0.9019    2
  588017567636652263  183.5829   13.4516  16.84   0.0083    38.20   8.6165  -0.4814    2
  587735346964136083  183.9804   13.7703  17.49   0.0261   116.73   9.1948   0.0155    2
  587735346964070501  183.8565   13.9131  15.44   0.0521   227.78  10.9124  -0.6683    2
  587735346963939454  183.5097   13.8158  16.60   0.0436   191.40  10.2756  -0.4937    2
  587738568166211724  183.9882   13.9897  17.42   0.0515   225.34   9.7083   0.2545    2
  587735346963742829  183.0375   13.8206  17.73   0.0427   187.66   9.3553   0.3935    2
  588017704542797872  183.9636   13.2177  17.30   0.0431   189.22   9.8705  -0.0421    2
  587735346964004875  183.6306   13.7807  16.00   0.0427   187.77  10.2862  -0.3988    2
